,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
0,9998220,HY188221,03/17/2015 08:35:00 AM,029XX W ARTHINGTON ST,0810,THEFT,OVER $500,APARTMENT,False,False,1135,11,28,27,06,1156929.0,1895897.0,2015,02/10/2018 03:50:01 PM,41.870113358000005,-87.69933581299999,"(41.870113358, -87.699335813)"
1,9998221,HY188033,03/13/2015 10:00:00 AM,039XX W LEXINGTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1132,11,24,26,08B,1150226.0,1896407.0,2015,02/10/2018 03:50:01 PM,41.871646073,-87.723931469,"(41.871646073, -87.723931469)"
2,9998223,HY188026,03/17/2015 09:00:00 AM,0000X E WACKER DR,0460,BATTERY,SIMPLE,STREET,False,False,111,1,42,32,08B,1176429.0,1902142.0,2015,08/17/2015 03:03:40 PM,41.886832476,-87.627557257,"(41.886832476, -87.627557257)"
3,9998224,HY188343,03/17/2015 04:28:00 PM,048XX W ROOSEVELT RD,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,CTA BUS,False,False,1533,15,24,25,08B,1144475.0,1894270.0,2015,02/10/2018 03:50:01 PM,41.865891974,-87.74509966299999,"(41.865891974, -87.745099663)"
4,9998225,HY188376,03/17/2015 03:00:00 PM,023XX N CLYBOURN AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,False,False,1811,18,32,7,26,1165441.0,1915547.0,2015,02/10/2018 03:50:01 PM,41.923857611,-87.667525821,"(41.923857611, -87.667525821)"
5,9998226,HY188406,03/17/2015 03:25:00 PM,070XX S EAST END AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,True,False,332,3,5,43,18,1188992.0,1858696.0,2015,02/10/2018 03:50:01 PM,41.767321462,-87.582817191,"(41.767321462, -87.582817191)"
6,9998228,HY184476,03/14/2015 05:00:00 PM,034XX N CLARK ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,BAR OR TAVERN,True,False,1924,19,44,6,22,1169088.0,1922905.0,2015,02/10/2018 03:50:01 PM,41.943969820999996,-87.65391113700001,"(41.943969821, -87.653911137)"
7,9998229,HY188068,03/13/2015 12:00:00 PM,003XX E 47TH ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),False,False,215,2,3,38,11,1178992.0,1873925.0,2015,02/10/2018 03:50:01 PM,41.809344900999996,-87.619007274,"(41.809344901, -87.619007274)"
8,9998230,HY188330,03/17/2015 04:00:00 PM,057XX S PERRY AVE,1570,SEX OFFENSE,PUBLIC INDECENCY,STREET,True,False,232,2,20,40,17,1176688.0,1866650.0,2015,02/10/2018 03:50:01 PM,41.789433843000005,-87.627676923,"(41.789433843, -87.627676923)"
9,9998233,HY188075,03/16/2015 11:32:00 PM,077XX S KEATING AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,834,8,13,70,26,1146086.0,1852745.0,2015,02/10/2018 03:50:01 PM,41.751910601999995,-87.74023752,"(41.751910602, -87.74023752)"
10,9998234,HY188168,02/11/2015 05:00:00 PM,065XX S SANGAMON ST,0810,THEFT,OVER $500,APARTMENT,False,False,723,7,17,68,06,1171101.0,1861443.0,2015,02/10/2018 03:50:01 PM,41.77526924,-87.648314721,"(41.77526924, -87.648314721)"
11,9998235,HY188399,03/13/2015 07:00:00 PM,021XX N KEDZIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1414,14,35,22,14,1154691.0,1914146.0,2015,08/17/2015 03:03:40 PM,41.920235403,-87.70706319700001,"(41.920235403, -87.707063197)"
12,9998236,HY184631,03/14/2015 07:05:00 PM,014XX N WELLS ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,RESTAURANT,True,False,1821,18,27,8,22,1174440.0,1909987.0,2015,02/10/2018 03:50:01 PM,41.90840423,-87.6346267,"(41.90840423, -87.6346267)"
13,9998237,HY184434,03/14/2015 04:40:00 PM,034XX N SHEFFIELD AVE,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,BAR OR TAVERN,True,False,1924,19,44,6,22,1168992.0,1923202.0,2015,02/10/2018 03:50:01 PM,41.944786889,-87.654255339,"(41.944786889, -87.654255339)"
14,9998238,HY188395,03/17/2015 04:50:00 PM,091XX S BLACKSTONE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,413,4,8,48,06,1187710.0,1844705.0,2015,02/10/2018 03:50:01 PM,41.728959411999995,-87.587960438,"(41.728959412, -87.587960438)"
15,9998239,HY188419,03/16/2015 09:30:00 PM,032XX S LOWE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,915,9,11,60,06,1172491.0,1883511.0,2015,02/10/2018 03:50:01 PM,41.835795585,-87.64256898299999,"(41.835795585, -87.642568983)"
16,9998240,HY184527,03/14/2015 05:30:00 PM,034XX N CLARK ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,TAVERN/LIQUOR STORE,True,False,1924,19,44,6,22,1168858.0,1923281.0,2015,02/10/2018 03:50:01 PM,41.945006581,-87.654745566,"(41.945006581, -87.654745566)"
17,9998241,HY188271,03/17/2015 03:55:00 PM,044XX S KEATING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,815,8,23,56,08B,1145432.0,1874878.0,2015,02/10/2018 03:50:01 PM,41.812659585,-87.742076464,"(41.812659585, -87.742076464)"
18,9998242,HY188427,03/17/2015 04:00:00 PM,044XX S KEATING AVE,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,RESIDENCE,True,False,815,8,23,56,26,1145432.0,1874878.0,2015,02/10/2018 03:50:01 PM,41.812659585,-87.742076464,"(41.812659585, -87.742076464)"
19,9998243,HY188260,03/16/2015 09:00:00 PM,052XX S TRIPP AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,815,8,23,57,06,1148925.0,1869355.0,2015,02/10/2018 03:50:01 PM,41.797436987,-87.729406273,"(41.797436987, -87.729406273)"
20,9998244,HY188359,03/16/2015 08:00:00 PM,037XX S ELLIS AVE,0810,THEFT,OVER $500,STREET,False,False,212,2,4,36,06,1182216.0,1880471.0,2015,02/10/2018 03:50:01 PM,41.82723347,-87.606979388,"(41.82723347, -87.606979388)"
21,9998245,HY184469,03/14/2015 05:00:00 PM,034XX N CLARK ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,BAR OR TAVERN,True,False,1924,19,44,6,22,1169077.0,1922924.0,2015,02/10/2018 03:50:01 PM,41.944022196999995,-87.653951014,"(41.944022197, -87.653951014)"
22,9998246,HY188207,03/15/2015 11:53:00 AM,019XX N SPAULDING AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,True,True,1422,14,35,22,26,1153835.0,1912571.0,2015,02/10/2018 03:50:01 PM,41.91593058,-87.710250356,"(41.91593058, -87.710250356)"
23,9998247,HY188372,03/17/2015 04:45:00 PM,096XX S LUELLA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,431,4,7,51,18,1192964.0,1841274.0,2015,02/10/2018 03:50:01 PM,41.719417959,-87.56882573200001,"(41.719417959, -87.568825732)"
24,9998248,HY188269,03/17/2015 02:45:00 PM,090XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,SIDEWALK,True,False,633,6,6,44,08B,1183139.0,1845391.0,2015,02/10/2018 03:50:01 PM,41.730949275,-87.60468364100001,"(41.730949275, -87.604683641)"
25,9998249,HY188296,03/17/2015 01:00:00 PM,076XX N SHERIDAN RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2422,24,49,1,08B,1165467.0,1950780.0,2015,02/10/2018 03:50:01 PM,42.020537665999996,-87.666422486,"(42.020537666, -87.666422486)"
26,9998250,HY188467,03/17/2015 02:00:00 PM,007XX N FRANKLIN ST,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,1831,18,42,8,06,1174193.0,1905211.0,2015,02/10/2018 03:50:01 PM,41.895304158,-87.635676726,"(41.895304158, -87.635676726)"
27,9998251,HY188328,03/17/2015 07:30:00 AM,066XX N SHERIDAN RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2432,24,49,1,14,1167038.0,1944628.0,2015,02/10/2018 03:50:01 PM,42.003622762,-87.660819165,"(42.003622762, -87.660819165)"
